IsRaceOn,TimestampMS,MaxRPM,IdleRPM,RPM,AccelX,AccelY,AccelZ,LinVelX,LinVelY,LinVelZ,AngVelX,AngVelY,AngVelZ,Yaw,Pitch,Roll,SuspNormFL,SuspNormFR,SuspNormRL,SuspNormRR,SlipRatioFL,SlipRatioFR,SlipRatioRL,SlipRatioRR,WheelSpeedFL,WheelSpeedFR,WheelSpeedRL,WheelSpeedRR,OnRumbleStripFL,OnRumbleStripFR,OnRumbleStripRL,OnRumbleStripRR,InPuddleFL,InPuddleFR,InPuddleRL,InPuddleRR,SurfaceRumbleFL,SurfaceRumbleFR,SurfaceRumbleRL,SurfaceRumbleRR,SlipAngleFL,SlipAngleFR,SlipAngleRL,SlipAngleRR,SlipCombinedFL,SlipCombinedFR,SlipCombinedRL,SlipCombinedRR,SuspAbsFL,SuspAbsFR,SuspAbsRL,SuspAbsRR,CarOrdinal,CarClass,CarPI,Drivetrain,Cylinders,CarType,Placeholder2,Placeholder3,PosX,PosY,PosZ,Speed,Power,Torque,TireTempFL,TireTempFR,TireTempRL,TireTempRR,Boost,Fuel,DistTraveled,BestLapTime,LastLapTime,CurLapTime,CurRaceTime,LapNo,RacePos,Throttle,Brake,Clutch,Handbrake,Gear,Steer,DrivingLine,AIBrakeDiff
1,691539859,8499.9951171875,1122.13134765625,1122.1585693359375,-0.00011935771181015298,-0.0022608975414186716,0.00016833185509312898,-0.00013735899119637907,6.0990831116214395e-05,1.4533870853483677e-06,-0.00021011722856201231,-6.233149179024622e-07,0.00029947838629595935,-2.234804153442383,0.07422386854887009,0.05275667458772659,0.4560765326023102,0.47015947103500366,0.42188262939453125,0.39374637603759766,0.09566434472799301,-0.07571030408143997,0.002147576306015253,-0.10705522447824478,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006791883613914251,-0.0429045706987381,0.042943764477968216,0.05309868976473808,0.09590514004230499,0.08702213317155838,0.04299743101000786,0.11950017511844635,-0.001177329570055008,0.001362033188343048,0.0009881556034088135,-0.0036797523498535156,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00015029797214083374,-0.029864458367228508,-0.0002541392750572413,218.86392211914062,217.10501098632812,206.01443481445312,206.01443481445312,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.331787109375,0,0,0,0,0,0,3,0,0,0
1,691539875,8499.9951171875,1122.13134765625,1122.158203125,-9.404549928149208e-05,-0.0017814288148656487,0.00013263367873150855,-0.00012273300671949983,5.5021257139742374e-05,-0.000304196699289605,-0.0002274598809890449,-2.0467923604883254e-06,0.00027414996293373406,-2.234804153442383,0.07422386854887009,0.05275667458772659,0.45607131719589233,0.470160573720932,0.42188310623168945,0.3937234878540039,0.09596358984708786,-0.07541627436876297,0.002447511302307248,-0.10676097869873047,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006773747503757477,-0.04288793355226517,0.04295187070965767,0.05310708284378052,0.09620235860347748,0.08675821870565414,0.0430215448141098,0.11924038082361221,-0.0011782608926296234,0.001362234354019165,0.0009882375597953796,-0.0036835484206676483,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0003326054138597101,-0.029466254636645317,-0.00025075074518099427,218.64669799804688,216.89971923828125,205.82101440429688,205.82101440429688,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.345947265625,0,0,0,0,0,0,3,0,0,0
1,691539890,8499.9951171875,1122.13134765625,1122.1578369140625,-7.440325862262398e-05,-0.0014093021163716912,0.00010492467845324427,-0.0001053578598657623,4.525667100097053e-05,3.801821731030941e-05,-0.0002463962300680578,-2.395288902334869e-06,0.00026019319193437696,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.4560760259628296,0.4701181948184967,0.421884149312973,0.3937230110168457,0.09570825099945068,-0.0756751224398613,0.0021929419599473476,-0.10701959580183029,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006774675101041794,-0.04288657382130623,0.04294542223215103,0.05310094356536865,0.09594772756099701,0.08698265254497528,0.04300137609243393,0.11946926265954971,-0.001177411526441574,0.0013545937836170197,0.0009884089231491089,-0.0036836229264736176,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0001208049216074869,-0.028988413512706757,-0.0002466845035087317,218.43450927734375,216.69918823242188,205.63211059570312,205.63211059570312,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.35986328125,0,0,0,0,0,0,3,0,0,0
1,691539906,8499.9951171875,1122.13134765625,1122.157470703125,-5.932935528107919e-05,-0.0011237810831516981,8.366721158381552e-05,-9.104928176384419e-05,3.1681021937401965e-05,-0.0002570592623669654,-0.00025278000975959003,-1.5384648577310145e-06,0.00023989174223970622,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.456080824136734,0.4700314998626709,0.4218848645687103,0.39372697472572327,0.0959397479891777,-0.07544548064470291,0.0024250878486782312,-0.10678974539041519,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006777849048376083,-0.04289087653160095,0.042937811464071274,0.05309362709522247,0.09617886692285538,0.08678506314754486,0.04300624132156372,0.11926014721393585,-0.0011765509843826294,0.001338958740234375,0.0009885244071483612,-0.0036829710006713867,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0002745416422840208,-0.028590215370059013,-0.0002432959881843999,218.2303924560547,216.50631713867188,205.45040893554688,205.45040893554688,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.373291015625,0,0,0,0,0,0,3,0,0,0
1,691539921,8499.9951171875,1122.13134765625,1122.1571044921875,-4.6945002395659685e-05,-0.0008892042678780854,6.620259955525398e-05,-7.825776992831379e-05,1.701289693301078e-05,6.75833725836128e-05,-0.0002593350945971906,-2.3816210159566253e-07,0.00021361820108722895,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.4560834765434265,0.46997150778770447,0.42188647389411926,0.3937321901321411,0.09567702561616898,-0.07570679485797882,0.0021631524432450533,-0.1070508360862732,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006783020216971636,-0.04289388284087181,0.04293482378125191,0.05309095233678818,0.09591716527938843,0.08701381087303162,0.042989280074834824,0.11949280649423599,-0.0011760704219341278,0.0013281367719173431,0.000988796353340149,-0.003682103008031845,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.00010479136108187959,-0.02819201350212097,-0.00023990747286006808,218.0218048095703,216.30918884277344,205.2647705078125,205.2647705078125,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.38720703125,0,0,0,0,0,0,3,0,0,0
1,691539921,8499.9951171875,1122.13134765625,1122.15673828125,-3.722531982930377e-05,-0.0007050997810438275,5.249574678600766e-05,-6.826412572991103e-05,2.987430889334064e-06,-0.0002498817048035562,-0.00025831261882558465,9.400173439644277e-07,0.0001921712828334421,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.4560850262641907,0.46993207931518555,0.4218878448009491,0.393734335899353,0.09592000395059586,-0.07546216994524002,0.002406802959740162,-0.10680601745843887,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006787620484828949,-0.04289982095360756,0.042931146919727325,0.053087569773197174,0.09615986049175262,0.08680400252342224,0.04299855977296829,0.11927202343940735,-0.0011757872998714447,0.0013210289180278778,0.0009890161454677582,-0.003681749105453491,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0002590555523056537,-0.02779380977153778,-0.00023651891387999058,217.81658935546875,216.11529541015625,205.08218383789062,205.08218383789062,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.401123046875,0,0,0,0,0,0,3,0,0,0
1,691539937,8499.9951171875,1122.13134765625,1122.1563720703125,-2.951703208964318e-05,-0.0005590939545072615,4.162539335084148e-05,-6.071208918001503e-05,-1.0125513654202223e-05,6.40067009953782e-05,-0.00026178668485954404,1.5942459867801517e-06,0.0001741028536343947,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.4560858905315399,0.46990591287612915,0.421889990568161,0.39373576641082764,0.09566967189311981,-0.07570948451757431,0.002157245296984911,-0.10705315321683884,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006794142071157694,-0.042904339730739594,0.042929161339998245,0.053085897117853165,0.09591061621904373,0.08702130615711212,0.04298333078622818,0.11949263513088226,-0.0011756345629692078,0.0013163164258003235,0.0009893812239170074,-0.0036815106868743896,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,8.879944653017446e-05,-0.02739560976624489,-0.00023313041310757399,217.613037109375,215.9229736328125,204.90106201171875,204.90106201171875,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.4150390625,0,0,0,0,0,0,3,0,0,0
1,691539953,8499.9951171875,1122.13134765625,1122.156005859375,-2.340101491427049e-05,-0.00044324807822704315,3.300049138488248e-05,-5.583510210271925e-05,-2.1612762793665752e-05,-0.0002556464169174433,-0.00026111776242032647,1.9327762856846675e-06,0.0001597174268681556,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.45608755946159363,0.4698890149593353,0.42189159989356995,0.393736332654953,0.09591872990131378,-0.07545845210552216,0.0024069808423519135,-0.10680196434259415,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0067970058880746365,-0.04290864244103432,0.04292753338813782,0.05308455973863602,0.09615924954414368,0.08680512756109238,0.04299496114253998,0.1192670539021492,-0.0011753365397453308,0.00131327286362648,0.0009896419942378998,-0.0036814212799072266,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0002625637862365693,-0.026997407898306847,-0.00022974188323132694,217.4110107421875,215.7321014404297,204.72140502929688,204.72140502929688,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.428955078125,0,0,0,0,0,0,3,0,0,0
1,691539968,8499.9951171875,1122.13134765625,1122.1556396484375,-1.8524517145124264e-05,-0.00035088034928776324,2.6123574571101926e-05,-5.2314433560241014e-05,-3.084799027419649e-05,6.0106256569270045e-05,-0.00026497154613025486,1.8099999579135329e-06,0.0001498976198490709,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.456088662147522,0.46987810730934143,0.42189374566078186,0.39373815059661865,0.09566984325647354,-0.07570496946573257,0.002158878371119499,-0.10704829543828964,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006802028510719538,-0.042911697179079056,0.0429258719086647,0.053083211183547974,0.09591134637594223,0.08702100813388824,0.0429801270365715,0.11948709189891815,-0.0011751353740692139,0.0013112984597682953,0.000990007072687149,-0.0036811158061027527,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,8.544682350475341e-05,-0.026599209755659103,-0.00022635338245891035,217.20950317382812,215.54171752929688,204.5421905517578,204.5421905517578,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.44287109375,0,0,0,0,0,0,3,0,0,0
1,691539984,8499.9951171875,1122.13134765625,1122.1552734375,-1.4666479728475679e-05,-0.00027780368691310287,2.068290632450953e-05,-5.065633013145998e-05,-3.8071724702604115e-05,-0.0002601852756924927,-0.00026440320652909577,1.6538378986297175e-06,0.00014314055442810059,-2.234804153442383,0.07422184199094772,0.05275890231132507,0.4560902714729309,0.46987274289131165,0.421895295381546,0.39373937249183655,0.09592229872941971,-0.07545147836208344,0.002412033500149846,-0.10679464042186737,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,-0.006803384982049465,-0.04291452839970589,0.04292411357164383,0.053081758320331573,0.09616325795650482,0.08680197596549988,0.04299182817339897,0.11925925314426422,-0.0011748448014259338,0.0013103373348712921,0.0009902529418468475,-0.0036809146404266357,615,3,800,2,4,34,0,0,-6395.17333984375,383.1265563964844,4484.3984375,0.0002677907468751073,-0.02620100788772106,-0.0002229648525826633,217.00973510742188,215.35302734375,204.36459350585938,204.36459350585938,-11.02499771118164,1.0,0.0,0.0,0.0,0.0,2571.456787109375,0,0,0,0,0,0,3,0,0,0
